 
================================================================================
                                                                                
               fso-data-check utility for TIO data @ fso                  
                       Release 20190721-0931                                    
                                                                                
20190913 20:30:02 : Checking the fits file numbers & size                    
                    @ /cygdrive/e/20190913/TIO                                                     
                    Please wait...                                              
                    Press ctrl-c to break!                                      
                                                                                
================================================================================
 
20190913 20:35:30: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:31: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:32: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:34: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:35: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:36: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:37: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:38: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:39: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:40: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:41: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:42: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:43: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:44: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:45: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:46: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:47: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:48: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:49: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:51: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:52: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:53: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:54: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:55: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:56: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:57: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:58: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:59: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:00: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:01: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:02: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:03: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:04: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:05: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:07: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:08: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:09: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:10: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:11: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:12: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:13: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:14: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:15: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:16: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:17: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:18: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:19: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:20: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:21: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:22: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:24: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:25: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:26: Getting TIO fits file(s) info, Please Wait...   
